"Geolocation","Cause of Death","Total Both Sexes"
"Philippines","TOTAL",694821
"Philippines","....1-096 Transport accidents V01-V99",13181
"Philippines","......1-096a Land transport accidents V01-V89",13125
"NATIONAL CAPITAL REGION (NCR)","TOTAL",82410
"NATIONAL CAPITAL REGION (NCR)","....1-096 Transport accidents V01-V99",528
"NATIONAL CAPITAL REGION (NCR)","......1-096a Land transport accidents V01-V89",521
"CORDILLERA ADMINISTRATIVE REGION (CAR)","TOTAL",10092
"CORDILLERA ADMINISTRATIVE REGION (CAR)","....1-096 Transport accidents V01-V99",208
"CORDILLERA ADMINISTRATIVE REGION (CAR)","......1-096a Land transport accidents V01-V89",208
"REGION I (ILOCOS REGION)","TOTAL",41030
"REGION I (ILOCOS REGION)","....1-096 Transport accidents V01-V99",1011
"REGION I (ILOCOS REGION)","......1-096a Land transport accidents V01-V89",1010
"REGION II (CAGAYAN VALLEY)","TOTAL",24677
"REGION II (CAGAYAN VALLEY)","....1-096 Transport accidents V01-V99",918
"REGION II (CAGAYAN VALLEY)","......1-096a Land transport accidents V01-V89",917
"REGION III (CENTRAL LUZON)","TOTAL",83636
"REGION III (CENTRAL LUZON)","....1-096 Transport accidents V01-V99",1495
"REGION III (CENTRAL LUZON)","......1-096a Land transport accidents V01-V89",1491
"REGION IV-A (CALABARZON)","TOTAL",103287
"REGION IV-A (CALABARZON)","....1-096 Transport accidents V01-V99",1460
"REGION IV-A (CALABARZON)","......1-096a Land transport accidents V01-V89",1432
"MIMAROPA REGION","TOTAL",19233
"MIMAROPA REGION","....1-096 Transport accidents V01-V99",459
"MIMAROPA REGION","......1-096a Land transport accidents V01-V89",458
"REGION V (BICOL REGION)","TOTAL",42549
"REGION V (BICOL REGION)","....1-096 Transport accidents V01-V99",833
"REGION V (BICOL REGION)","......1-096a Land transport accidents V01-V89",833
"REGION VI (WESTERN VISAYAS)","TOTAL",58659
"REGION VI (WESTERN VISAYAS)","....1-096 Transport accidents V01-V99",1110
"REGION VI (WESTERN VISAYAS)","......1-096a Land transport accidents V01-V89",1109
"REGION VII (CENTRAL VISAYAS)","TOTAL",54636
"REGION VII (CENTRAL VISAYAS)","....1-096 Transport accidents V01-V99",908
"REGION VII (CENTRAL VISAYAS)","......1-096a Land transport accidents V01-V89",905
"REGION VIII (EASTERN VISAYAS)","TOTAL",31005
"REGION VIII (EASTERN VISAYAS)","....1-096 Transport accidents V01-V99",655
"REGION VIII (EASTERN VISAYAS)","......1-096a Land transport accidents V01-V89",654
"REGION IX (ZAMBOANGA PENINSULA)","TOTAL",23554
"REGION IX (ZAMBOANGA PENINSULA)","....1-096 Transport accidents V01-V99",497
"REGION IX (ZAMBOANGA PENINSULA)","......1-096a Land transport accidents V01-V89",496
"REGION X (NORTHERN MINDANAO)","TOTAL",31768
"REGION X (NORTHERN MINDANAO)","....1-096 Transport accidents V01-V99",885
"REGION X (NORTHERN MINDANAO)","......1-096a Land transport accidents V01-V89",885
"REGION XI (DAVAO REGION)","TOTAL",36312
"REGION XI (DAVAO REGION)","....1-096 Transport accidents V01-V99",913
"REGION XI (DAVAO REGION)","......1-096a Land transport accidents V01-V89",911
"REGION XII (SOCCSKSARGEN)","TOTAL",26496
"REGION XII (SOCCSKSARGEN)","....1-096 Transport accidents V01-V99",688
"REGION XII (SOCCSKSARGEN)","......1-096a Land transport accidents V01-V89",685
"REGION XIII (Caraga)","TOTAL",18358
"REGION XIII (Caraga)","....1-096 Transport accidents V01-V99",470
"REGION XIII (Caraga)","......1-096a Land transport accidents V01-V89",470
"BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM)","TOTAL",6577
"BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM)","....1-096 Transport accidents V01-V99",129
"BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM)","......1-096a Land transport accidents V01-V89",129
"FOREIGN COUNTRY","TOTAL",542
"FOREIGN COUNTRY","....1-096 Transport accidents V01-V99",14
"FOREIGN COUNTRY","......1-096a Land transport accidents V01-V89",11
