"Indicator","Geolocation","Sex","2021","2022","2023"
"3.6.1 Death rate due to road traffic injuries per 100,000 population","PHILIPPINES","Both Sexes",10.0,10.9,...
"3.6.1 Death rate due to road traffic injuries per 100,000 population","..National Capital Region (NCR)","Both Sexes",3.6,3.6,...
"3.6.1 Death rate due to road traffic injuries per 100,000 population","..Cordillera Administrative Region (CAR)","Both Sexes",10.5,11.4,...
"3.6.1 Death rate due to road traffic injuries per 100,000 population","..Region I","Both Sexes",13.1,16.1,...
"3.6.1 Death rate due to road traffic injuries per 100,000 population","..Region II","Both Sexes",19.1,22.1,...
"3.6.1 Death rate due to road traffic injuries per 100,000 population","..Region III","Both Sexes",10.2,11.1,...
"3.6.1 Death rate due to road traffic injuries per 100,000 population","..Region IV-A","Both Sexes",7.7,7.8,...
"3.6.1 Death rate due to road traffic injuries per 100,000 population","..MIMAROPA Region","Both Sexes",11.1,13.5,...
"3.6.1 Death rate due to road traffic injuries per 100,000 population","..Region V","Both Sexes",11.5,12.3,...
"3.6.1 Death rate due to road traffic injuries per 100,000 population","..Region VI","Both Sexes",12.4,13.2,...
"3.6.1 Death rate due to road traffic injuries per 100,000 population","..Region VII","Both Sexes",8.6,10.3,...
"3.6.1 Death rate due to road traffic injuries per 100,000 population","..Region VIII","Both Sexes",10.5,11.9,...
"3.6.1 Death rate due to road traffic injuries per 100,000 population","..Region IX","Both Sexes",11.1,11.6,...
"3.6.1 Death rate due to road traffic injuries per 100,000 population","..Region X","Both Sexes",14.8,15.3,...
"3.6.1 Death rate due to road traffic injuries per 100,000 population","..Region XI","Both Sexes",15.4,16.8,...
"3.6.1 Death rate due to road traffic injuries per 100,000 population","..Region XII","Both Sexes",12.8,13.1,...
"3.6.1 Death rate due to road traffic injuries per 100,000 population","..Region XIII","Both Sexes",16.5,16.9,...
"3.6.1 Death rate due to road traffic injuries per 100,000 population","..Bangsamoro Autonomous Region in Muslim Mindanao (BARMM)","Both Sexes",2.0,2.1,...
